"0812.0007","Alyson Brooks","A.M. Brooks, F. Governato, T. Quinn, C.B. Brook, J. Wadsley","The Role of Cold Flows in the Assembly of Galaxy Disks","accepted to ApJ","Astrophys.J.694:396-410,2009","10.1088/0004-637X/694/1/396",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We use high resolution cosmological hydrodynamical simulations to demonstrate
that cold flow gas accretion, particularly along filaments, modifies the
standard picture of gas accretion and cooling onto galaxy disks. In the
standard picture, all gas is initially heated to the virial temperature of the
galaxy as it enters the virial radius. Low mass galaxies are instead dominated
by accretion of gas that stays well below the virial temperature, and even when
a hot halo is able to develop in more massive galaxies there exist dense
filaments that penetrate inside of the virial radius and deliver cold gas to
the central galaxy. For galaxies up to ~L*, this cold accretion gas is
responsible for the star formation in the disk at all times to the present.
Even for galaxies at higher masses, cold flows dominate the growth of the disk
at early times. Within this modified picture, galaxies are able to accrete a
large mass of cold gas, with lower initial gas temperatures leading to shorter
cooling times to reach the disk. Although star formation in the disk is
mitigated by supernovae feedback, the short cooling times allow for the growth
of stellar disks at higher redshifts than predicted by the standard model.
","[{""version"":""v1"",""created"":""Sat, 29 Nov 2008 18:28:00 GMT""}]","2011-02-11"
"0812.0029","John Johnson","John A. Johnson, Joshua N. Winn, Nicole E. Cabrera, Joshua A. Carter","A Smaller Radius for the Transiting Exoplanet WASP-10b","4 pages, 2 tables, 2 figures, table 1 available upon request",,"10.1088/0004-637X/692/2/L100",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present photometry of WASP-10 during the transit of its short-period
Jovian planet. We employed the novel PSF-shaping capabilities the OPTIC camera
mounted on the UH 2.2m telescope to achieve a photometric precision of 4.7e-4
per 1.3 min sample. With this new light curve, in conjunction with stellar
evolutionary models, we improve on existing measurements of the planetary,
stellar and orbital parameters. We find a stellar radius Rstar = 0.698 +/-
0.012 Rsun and a planetary radius Rp = 1.080 +/- 0.020 Rjup. The quoted errors
do not include any possible systematic errors in the stellar evolutionary
models. Our measurement improves the precision of the planet's radius by a
factor of 4, and revises the previous estimate downward by 16% (2.5sigma, where
sigma is the quadrature sum of the respective confidence limits). Our measured
radius of WASP-10b is consistent with previously published theoretical radii
for irradiated Jovian planets.
","[{""version"":""v1"",""created"":""Sat, 29 Nov 2008 21:00:22 GMT""}]","2009-11-13"
"0812.0088","Bernard Mourrain","Itnuit Janovitz-Freireich, Agnes Szanto, Bernard Mourrain (INRIA
  Sophia Antipolis), Lajos Ronyai","Moment matrices, trace matrices and the radical of ideals",,"nternational Conference on Symbolic and Algebraic Computation
  (2008) 125-132",,,"cs.SC","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Let $f_1,...,f_s \in \mathbb{K}[x_1,...,x_m]$ be a system of polynomials
generating a zero-dimensional ideal $\I$, where $\mathbb{K}$ is an arbitrary
algebraically closed field. Assume that the factor algebra
$\A=\mathbb{K}[x_1,...,x_m]/\I$ is Gorenstein and that we have a bound
$\delta>0$ such that a basis for $\A$ can be computed from multiples of
$f_1,...,f_s$ of degrees at most $\delta$. We propose a method using Sylvester
or Macaulay type resultant matrices of $f_1,...,f_s$ and $J$, where $J$ is a
polynomial of degree $\delta$ generalizing the Jacobian, to compute moment
matrices, and in particular matrices of traces for $\A$. These matrices of
traces in turn allow us to compute a system of multiplication matrices
$\{M_{x_i}|i=1,...,m\}$ of the radical $\sqrt{\I}$, following the approach in
the previous work by Janovitz-Freireich, R\'{o}nyai and Sz\'ant\'o.
Additionally, we give bounds for $\delta$ for the case when $\I$ has finitely
many projective roots in $\mathbb{P}^m_\CC$.
","[{""version"":""v1"",""created"":""Sat, 29 Nov 2008 16:14:07 GMT""}]","2009-01-23"
"0812.0089","Michael Skeide","Luigi Accardi, Ameur Dhahri, Michael Skeide","Extending the Set of Quadratic Exponential Vectors",,"Number XXV in Quantum Probability and White Noise Analysis, pages
  262-265. World Scientific, 2010",,,"math.PR math.OA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We extend the square of white noise algebra over the step functions on R to
the test function space of bounded square-integrable functions on R^d, and we
show that in the Fock representation the exponential vectors exist for all test
functions bounded by 1/2.
","[{""version"":""v1"",""created"":""Sat, 29 Nov 2008 16:22:06 GMT""}]","2013-11-20"
"0812.0090","Rocio Jauregui","K. Volke-Sepulveda and R. Jauregui","All-optical 3D atomic loops generated with Bessel light fields","13 pages, 9 figures",,"10.1088/0953-4075/42/8/085303",,"physics.atom-ph physics.optics","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The propagation invariance of Bessel beams as well as their transversal
structure are used to perform a comparative analysis of their effect on cold
atoms for four different configurations and combinations thereof. We show that,
even at temperatures for which the classical description of the atom center of
mass motion is valid, the interchange of momentum, energy and orbital angular
momentum between light and atoms yields efficient tools for all-optical
trapping, transporting and, in general, manipulating the state of motion of
cold atoms.
","[{""version"":""v1"",""created"":""Sat, 29 Nov 2008 16:52:44 GMT""}]","2009-11-13"
"0812.0091","P\""ar-Anders S\""oderstr\""om","P.-A. S\""oderstr\""om, A. Al-Adili, J. Nyberg, F. Recchia, E. Farnea,
  A. Gadea","AGATA: Gamma-ray tracking in segmented HPGe detectors","10 pages, 6 figures. To appear in the proceedings of 17th
  International Workshop on Vertex detectors July 28 - 1 August 2008 Uto
  Island, Sweden","PoS VERTEX2008:040,2008",,,"nucl-ex physics.ins-det","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The next generation of radioactive ion beam facilities, which will give
experimental access to many exotic nuclei, are presently being developed. At
the same time the next generation of high resolution gamma-ray spectrometers,
based on gamma-ray tracking, for studying the structure of these exotic nuclei
are being developed. One of the main differences in tracking of $\gamma$ rays
versus charged particles is that the gamma rays do not deposit their energy
""continuously"" in the detector, but in a few discrete steps. Also, in the field
of nuclear spectroscopy, the location of the source is mostly well known while
the exact interaction position in the detector is the unknown quantity. This
makes the challenges of gamma-ray tracking in germanium somewhat different
compared to vertexing in silicon detectors. In these proceedings we present the
methods for determining the 3D interaction positions in the detector and how
these are used to reconstruct the gamma-ray tracks in the AGATA detector array.
We also present preliminary simulation results of a proposed in-beam method to
measure the interaction position resolution in the germanium detectors.
","[{""version"":""v1"",""created"":""Sat, 29 Nov 2008 17:05:51 GMT""}]","2010-02-17"
"0812.0092","Artan Borici","Artan Borici","Minimally Doubled Fermion Revival","7 pages, 3 figures; proceedings of The XXVI International Symposium
  on Lattice Field Theory, July 14 - 19, 2008, Williamsburg, Virginia, USA","PoS LATTICE2008:231,2008",,,"hep-lat","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we present the recent progress on minimally doubled lattice
actions. In particular, we discuss the proposal of Creutz and its variations on
an orthogonal lattice. A preliminary computation of the pion mass on an SU(3)
background field shows the expected behaviour as predicted form the chiral
perturbation theory.
","[{""version"":""v1"",""created"":""Sat, 29 Nov 2008 17:15:01 GMT""}]","2010-01-21"
"0812.0093","Leonardo Vanni","L. Vanni, R. Laura","Preferred basis without decoherence","11 pages",,,,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The aim of this paper is to argue that the ""preferred basis problem"" is not a
real problem in measurement. We will show that, given an apparatus, among the
infinite corrrelations that can be established in the final state by means of a
change of basis, one and only one makes physical sense. It is the apparatus,
through its interaction Hamiltonian, what selects a single basis and determines
the observable to be measured, even without decoherence.
","[{""version"":""v1"",""created"":""Sat, 29 Nov 2008 17:41:38 GMT""},{""version"":""v2"",""created"":""Tue, 2 Dec 2008 14:20:08 GMT""}]","2008-12-02"
"0812.0094","Christopher Lyons","Christopher Lyons","A rank inequality for the Tate Conjecture over global function fields","Contains correction to statement of main theorem in published
  version, pointed out by Uwe Jannsen and Dinakar Ramakrishnan. The inequality
  of the title is unaffected by this","Expos. Math. 27 (2009), no. 2, 93--108","10.1016/j.exmath.2008.10.008",,"math.NT math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Following D. Ramakrishnan, we explain how L. Lafforgue's modularity theorem
and an analytic theorem of H. Jacquet and J. Shalika can be applied to prove
the following result related to the Tate Conjecture: for a smooth, projective,
geometrically-connected variety defined over a global function field, the
algebraic rank is less than or equal to the analytic rank.
  Also discussed is the analogous (open) question for number fields and an easy
extension of Lafforgue's theorem to remove the ""finite-order character""
assumption. All results are likely ""known to the experts"", but don't appear to
be written down.
","[{""version"":""v1"",""created"":""Sun, 30 Nov 2008 02:59:30 GMT""},{""version"":""v2"",""created"":""Sat, 8 Aug 2015 06:23:08 GMT""}]","2015-08-11"
"0812.0095","Xue Feng Wang","Li-Na Zhao, Xue-Feng Wang, Zhen-Hua Yao, Zhu-Feng Hou, Marcus Yee,
  Xing Zhou, Shi-Huan Lin, and Teck-Seng Lee","Atomistic modeling of the electrostatic and transport properties of a
  simplified nanoscale field effect transistor","8 pages, 5 figures","J. Comput. Electron. vol. 7, 500 (2008)",,,"cond-mat.mtrl-sci cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A first-principle model is proposed to study the electrostatic properties of
a double-gated silicon slab of nano scale in the framework of density
functional theory. The applied gate voltage is approximated as a variation of
the electrostatic potential on the boundary of the supercell enclosing the
system. With the electron density estimated by the real space Green's
functions, efficient multigrid and fast Fourier Poisson solvers are employed to
calculate the electrostatic potential from the charge density. In the
representation of localized SIESTA linear combination of atomic orbitals, the
Kohn-Sham equation is established and solved self-consistently for the
wavefunction of the system in the local density approximation. The transmission
for ballistic transport across the atomic silicon slab at small bias is
calculated. The charge distribution and electrostatic potential profile in the
silicon slab versus the gate voltage are then analyzed with the help of the
equivalent capacitive model. Quantum confinement and short gate effects are
observed and discussed.
","[{""version"":""v1"",""created"":""Sat, 29 Nov 2008 18:26:11 GMT""}]","2008-12-02"
