"0803.1183","C\'esar Rodr\'iguez","Cesar A. Rodriguez-Rosario, E.C.G. Sudarshan","Non-Markovian Open Quantum Systems",,,,,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We construct a non-Markovian canonical dynamical map that accounts for
systems correlated with the environment. The physical meaning of not completely
positive maps is studied to obtain a theory of non-Markovian quantum dynamics.
The relationship between inverse maps and correlations with the environment is
established. A generalized non-Markovian master equation is derived from the
canonical dynamical map that goes beyond the Kossakowski-Lindblad Markovian
master equation. Non-equilibrium quantum thermodynamics can be be studied
within this theory.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 23:48:52 GMT""},{""version"":""v2"",""created"":""Thu, 22 May 2008 21:48:37 GMT""}]","2008-05-23"
"0803.1187","Jean Ruppenthal","Jean Ruppenthal","The Dolbeault complex with weights according to normal crossings","29 pages; extended introduction, new references",,,,"math.CV","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we define a Dolbeault complex with weights according to normal
crossings, which is a useful tool for studying the d-bar-equation on singular
complex spaces by resolution of singularities (where normal crossings appear
naturally). The major difficulty is to prove that this complex is locally
exact. We do that by constructing a local d-bar-solution operator which
involves only Cauchy's Integral Formula (in one complex variable) and behaves
well for L^p-forms with weights according to normal crossings.
","[{""version"":""v1"",""created"":""Sun, 9 Mar 2008 04:20:45 GMT""},{""version"":""v2"",""created"":""Wed, 23 Jul 2008 11:56:12 GMT""},{""version"":""v3"",""created"":""Mon, 23 Mar 2009 23:13:49 GMT""}]","2009-03-24"
"0803.1188","Jean Ruppenthal","Jean Ruppenthal","The d-bar-equation on homogeneous varieties with an isolated singularity","35 pages; extended introduction, new references",,,,"math.CV","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Let X be a regular irreducible variety in CP^{n-1}, Y the associated
homogeneous variety in C^n, and N the restriction of the universal bundle of
CP^{n-1} to X. In the present paper, we compute the obstructions to solving the
d-bar-equation in the L^p-sense on Y for 1<=p<=\infty in terms of cohomology
groups H^q(X,O(N^m)). That allows to identify obstructions explicitly if X is
specified more precisely, for example if it is equivalent to CP^1 or an
elliptic curve.
","[{""version"":""v1"",""created"":""Sun, 9 Mar 2008 04:21:28 GMT""},{""version"":""v2"",""created"":""Wed, 23 Jul 2008 12:01:15 GMT""},{""version"":""v3"",""created"":""Mon, 23 Mar 2009 23:15:08 GMT""}]","2009-03-24"
"0803.1212","Sanefumi Moriyama","Takuya Matsumoto, Sanefumi Moriyama","An Exceptional Algebraic Origin of the AdS/CFT Yangian Symmetry","20 pages, 3 figures, v3: minor changes and references added","JHEP 0804:022,2008","10.1088/1126-6708/2008/04/022",,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In the su(2|2) spin chain motivated by the AdS/CFT correspondence, a novel
symmetry extending the superalgebra su(2|2) into u(2|2) was found. We pursue
the origin of this symmetry in the exceptional superalgebra d(2,1;epsilon),
which recovers su(2|2) when the parameter epsilon is taken to zero. Especially,
we rederive the Yangian symmetries of the AdS/CFT spin chain using the
exceptional superalgebra and find that the epsilon-correction corresponds to
the novel symmetry. Also, we reproduce the non-canonical classical r-matrix of
the AdS/CFT spin chain expressed with this symmetry from the canonical one of
the exceptional algebra.
","[{""version"":""v1"",""created"":""Sun, 9 Mar 2008 13:10:52 GMT""},{""version"":""v2"",""created"":""Sat, 15 Mar 2008 07:29:47 GMT""},{""version"":""v3"",""created"":""Thu, 3 Apr 2008 11:59:00 GMT""}]","2014-11-18"
"0803.1248","L\'aszl\'o Lov\'asz","Laszlo Lovasz, Balazs Szegedy","Testing properties of graphs and functions","34 pages",,,,"math.CO math.FA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We define an analytic version of the graph property testing problem, which
can be formulated as studying an unknown 2-variable symmetric function through
sampling from its domain and studying the random graph obtained when using the
function values as edge probabilities. We give a characterization of properties
testable this way, and extend a number of results about ``large graphs'' to
this setting. These results can be applied to the original graph-theoretic
property testing.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 16:07:59 GMT""},{""version"":""v2"",""created"":""Tue, 11 Mar 2008 09:38:53 GMT""}]","2008-03-11"
"0803.1249","Yanir A. Rubinstein","Yanir A. Rubinstein, Steve Zelditch","Bergman approximations of harmonic maps into the space of Kahler metrics
  on toric varieties",,"J. Symp. Geom. 8 (2010), 239-265",,,"math.DG math.SG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We generalize the results of Song-Zelditch on geodesics in spaces of Kahler
metrics on toric varieties to harmonic maps of any compact Riemannian manifold
with boundary into the space of Kahler metrics on a toric variety. We show that
the harmonic map equation can always be solved and that such maps may be
approximated in the C^2 topology by harmonic maps into the spaces of Bergman
metrics. In particular, WZW maps, or equivalently solutions of a homogeneous
Monge-Ampere equation on the product of the manifold with a Riemann surface
with S^1 boundary admit such approximations. We also show that the
Eells-Sampson flow on the space of Kahler potentials is transformed to the
usual heat flow on the space of symplectic potentials under the Legendre
transform.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 16:13:03 GMT""}]","2010-09-13"
"0803.1250","Ian Biringer","Ian Biringer, Benjamin Schmidt","The Three Gap Theorem and Riemannian Geometry","18 pages",,,,"math.DG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The classical Three Gap Theorem asserts that for a natural number n and a
real number p, there are at most three distinct distances between consecutive
elements in the subset of [0,1) consisting of the reductions modulo 1 of the
first n multiples of p. Regarding it as a statement about rotations of the
circle, we find results in a similar spirit pertaining to isometries of compact
Riemannian manifolds and the distribution of points along their geodesics.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 16:31:06 GMT""}]","2008-03-11"
"0803.1251","Theresa Hecht","Theresa Hecht, Andreas Weichselbaum, Jan von Delft and Ralf Bulla","Numerical renormalization group calculation of near-gap peaks in
  spectral functions of the Anderson model with superconducting leads","18 pages, 7 figures, accepted for publication in Journal of Physics:
  Condensed Matter","J. Phys.: Condens. Matter 20 (2008) 275213","10.1088/0953-8984/20/27/275213",,"cond-mat.str-el cond-mat.supr-con","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We use the numerical renormalization group method (NRG) to investigate a
single-impurity Anderson model with a coupling of the impurity to a
superconducting host. Analysis of the energy flow shows, in contrast to
previous belief, that NRG iterations can be performed up to a large number of
sites, corresponding to energy differences far below the superconducting gap.
This allows us to calculate the impurity spectral function very accurately for
frequencies near the gap edge, and to resolve, in a certain parameter regime,
sharp peaks in the spectral function close to the gap edge.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 17:19:16 GMT""},{""version"":""v2"",""created"":""Wed, 14 May 2008 10:19:29 GMT""},{""version"":""v3"",""created"":""Thu, 12 Jun 2008 13:03:07 GMT""}]","2015-05-13"
"0803.1252","Peter S. Ozsvath","Peter Ozsvath and Andras Stipsicz","Contact surgeries and the transverse invariant in knot Floer homology","Corrected naturality discussion.",,,,"math.SG math.GT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study naturality properties of the transverse invariant in knot Floer
homology under contact (+1)-surgery. This can be used as a calculational tool
for the transverse invariant. As a consequence, we show that the
Eliashberg-Chekanov twist knots E_n are not transversely simple for n odd and
n>3.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 16:51:56 GMT""},{""version"":""v2"",""created"":""Tue, 23 Mar 2010 04:46:47 GMT""},{""version"":""v3"",""created"":""Wed, 21 Apr 2010 18:08:37 GMT""}]","2015-03-13"
"0803.1253","Ian Biringer","Ian Biringer","Geometry and Rank of Fibered Hyperbolic 3-Manifolds",,"Algebr. Geom. Topol. 9 (2009) 277-292","10.2140/agt.2009.9.277",,"math.MG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Assume that M is a closed hyperbolic 3-manifold fibering over the circle with
fiber a closed orientable surface of genus g. We show that if M has large
diameter and its injectivity radius is bounded below, then the rank of the
fundamental group of M is 2g+1.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 16:54:15 GMT""}]","2014-10-01"
"0803.1254","Henri Gouin","Henri Gouin (MSNMGP, LMMT)","Thermocapillary fluid and adiabatic waves near the critical point","Reference: ISBN 981-238-748-X; 15 pages and 1 figure","Thermocapillary fluid and adiabatic waves near the critical point,
  World Scientific (Ed.) (2004) p.p. 254-268",,,"math-ph math.MP physics.class-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Isothermal interfacial zones are investigated starting from a local energy
which can be considered as the sum of two terms: one corresponding to a medium
with a uniform composition equal to the local one and a second one associated
with the non-uniformity of the fluid. In an extended van der Waals theory, the
volume internal energy is proposed with a gradient expansion depending not only
on the gradient of density but also on the gradient of entropy. We obtain the
equation of conservative motions for non-homogeneous fluids near its critical
point. For such a medium, it is not possible to obtain shock waves. The waves
are tangential to the interface and the wave celerity is expressed depending on
thermodynamic conditions at the critical point.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 16:54:17 GMT""}]","2008-12-18"
"0803.1255","Nathalie Picque","Julien Mandon (PPM), Guy Guelachvili (PPM), Nathalie Picqu\'e (PPM)","Molecular fingerprinting with femtosecond lasers",,,,,"physics.optics","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Molecular fingerprinting through absorption spectroscopy is a powerful
analytical method. Wide spectral ranges are explored with Doppler-limited
resolution. Fast data acquisition, accurate measurements of frequency,
intensity, and line shape; time-resolved, selective spectra are achieved with
excellent sensitivities. However, presently spectrometers are unable to provide
all these features at once.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 17:09:41 GMT""},{""version"":""v2"",""created"":""Wed, 20 Aug 2008 16:41:48 GMT""}]","2008-08-20"
"0803.1257","Salvador Meza-Aguilar","S. Meza-Aguilar, R. E. Felix-Medina, M. A. Leyva-Lucero","Magnetism of Ru and Rh thin films on Ag(001) substrate","5 pages, 2 Figures",,,,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In a very recent x-ray magnetic circular dichroism experiment concerning with
Ru and Rh impurities and metal films on Ag(001) substrate, no local magnetic
momen ts were displayed in direct contradiction with previous theoretical
works. It is thought that there can be three main reasons for this
inconsistency: relaxation, alloying and many-body effects. Some of the
above-mentioned systems are studie d by using a first-principles method in
which relaxation and alloying are taken into account, even so magnetism is
still obtained. For low-coverage systems, hig h magnetic moments in both Ru
($\sim$ 2.49 $\mu_{B}$) and Rh ($\sim$ 2.00 $\mu_{B}$) are obtained. Naturally,
as the coverage is increased the magnetic moments are approached to zero. Also,
it is noticed that the relaxation distances are in creased by magnetism, which
in turn is decreased by alloying. The behavior of th e magnetic properties is
explained in terms of Stoner model.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 18:25:29 GMT""}]","2008-03-11"
"0803.1258","Eric Rowell","Eric C. Rowell","Two paradigms for topological quantum computation","3 figures, 1 table",,,,"math.GT math.QA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present two paradigms relating algebraic, topological and quantum
computational statistics for the topological model for quantum computation. In
particular we suggest correspondences between the computational power of
topological quantum computers, computational complexity of link invariants and
images of braid group representations. While at least parts of these paradigms
are well-known to experts, we provide supporting evidence for them in terms of
recent results. We give a fairly comprehensive list of known examples and
formulate two conjectures that would further support the paradigms.
","[{""version"":""v1"",""created"":""Sat, 8 Mar 2008 18:53:34 GMT""}]","2008-03-11"
